Time,nsm,nlg,nsmz,nmdz,nlgz,no3,sio4,po4
2013-03-06 00:00:00,1.22346634643293E-07,5.92110275557162E-08,1.19211933228928E-07,5.35488449162375E-08,1.23297505167123E-08,1.63127907367689E-06,2.93931345028353E-06,1.74805430243584E-07
2013-03-06 12:00:00,1.45805683116112E-07,6.30424389115249E-08,1.18789783670109E-07,5.31597689446001E-08,1.21538961444805E-08,1.68453529270601E-06,3.03282325654018E-06,1.77144887973853E-07
2013-03-07 00:00:00,1.27986276935638E-07,6.05368256277927E-08,1.21455951571818E-07,5.35668703027653E-08,1.2147493009493E-08,1.64386949488499E-06,2.94846296809191E-06,1.75472809075417E-07
2013-03-07 12:00:00,1.48137806133561E-07,6.42799448942097E-08,1.21785620587148E-07,5.33203802249446E-08,1.20078366786669E-08,1.68616491931619E-06,3.01786956456083E-06,1.77212717356914E-07
2013-03-08 00:00:00,1.27788198356644E-07,6.22157831890438E-08,1.267931682923E-07,5.39009986864489E-08,1.19948416336274E-08,1.65303666003415E-06,2.94822114326912E-06,1.7633109166126E-07
2013-03-08 12:00:00,1.44595195616225E-07,6.72499312122583E-08,1.30925721674246E-07,5.55872652054692E-08,1.21476256056165E-08,1.6363205236516E-06,2.95626452042977E-06,1.7386261470721E-07
2013-03-09 00:00:00,1.21672556298273E-07,6.40916845382775E-08,1.32932734883798E-07,5.63940610939893E-08,1.21707212534856E-08,1.64265611215965E-06,2.96713931506291E-06,1.75743337367523E-07
2013-03-09 12:00:00,1.35625236451997E-07,6.97193890131675E-08,1.39255042569604E-07,5.9258964731857E-08,1.24770867914196E-08,1.59814137242077E-06,2.93393034675031E-06,1.71029190964478E-07
2013-03-10 00:00:00,1.10176115726417E-07,6.62382994120968E-08,1.42293201009366E-07,6.07025525509248E-08,1.26262880315922E-08,1.59751634937383E-06,2.94079103488366E-06,1.72309326981429E-07
2013-03-10 12:00:00,1.19839603815691E-07,7.08773926497739E-08,1.44713644180136E-07,6.26571024494796E-08,1.27857232060423E-08,1.59236366415602E-06,2.94302495321244E-06,1.70575172021795E-07
2013-03-11 00:00:00,9.84380805480566E-08,6.70721863774485E-08,1.46560320343661E-07,6.3811010344131E-08,1.29419393784878E-08,1.59031704652691E-06,2.95133784881479E-06,1.71680726496105E-07
